City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Ponta Do Sol,PT,2020-02-23 21:43:44,32.67,-17.1,69.01,45,20,19.46,few clouds,0.0,0.0
1,Punta Arenas,CL,2020-02-23 21:40:24,-53.15,-70.92,55.4,62,75,31.09,broken clouds,0.0,0.0
2,Atuona,PF,2020-02-23 21:43:44,-9.8,-139.03,81.61,76,8,13.73,clear sky,0.0,0.0
3,Hirara,JP,2020-02-23 21:43:44,24.8,125.28,67.53,74,100,13.89,overcast clouds,0.0,0.0
4,Jacareacanga,BR,2020-02-23 21:43:45,-6.22,-57.75,80.55,79,100,3.24,overcast clouds,0.0,0.0
5,Pyshchug,RU,2020-02-23 21:43:45,58.89,45.71,30.54,91,100,12.48,light snow,0.0,0.63
6,Ushuaia,AR,2020-02-23 21:43:45,-54.8,-68.3,46.4,87,90,20.8,overcast clouds,0.0,0.0
7,Hongjiang,CN,2020-02-23 21:43:45,27.11,110.0,56.84,88,8,5.14,clear sky,0.0,0.0
8,Maamba,ZM,2020-02-23 21:43:45,-17.37,27.15,71.67,87,100,3.65,light rain,0.94,0.0
9,Alugan,PH,2020-02-23 21:43:45,12.22,125.48,78.6,86,6,15.23,light rain,0.69,0.0
10,Coihaique,CL,2020-02-23 21:43:45,-45.58,-72.07,62.6,45,40,11.41,scattered clouds,0.0,0.0
11,Dalianwan,CN,2020-02-23 21:43:45,39.03,121.69,39.2,80,86,4.47,overcast clouds,0.0,0.0
12,Hilo,US,2020-02-23 21:43:24,19.73,-155.09,78.8,61,75,12.75,broken clouds,0.0,0.0
13,Kahului,US,2020-02-23 21:38:53,20.89,-156.47,80.6,54,20,6.93,few clouds,0.0,0.0
14,Sangar,RU,2020-02-23 21:43:45,63.92,127.47,-16.11,99,100,0.98,overcast clouds,0.0,0.0
15,Sola,VU,2020-02-23 21:43:45,-13.88,167.55,83.14,77,20,14.7,few clouds,0.0,0.0
16,Altamira,BR,2020-02-23 21:43:45,-3.2,-52.21,79.86,96,100,1.21,moderate rain,3.63,0.0
17,Borogontsy,RU,2020-02-23 21:43:45,62.67,131.17,-6.3,99,100,2.13,light snow,0.0,0.19
18,Riyadh,SA,2020-02-23 21:43:45,24.69,46.72,69.8,60,100,3.36,overcast clouds,0.0,0.0
19,Dikson,RU,2020-02-23 21:43:45,73.51,80.55,28.47,92,100,27.6,light snow,0.0,0.25
20,Port Elizabeth,ZA,2020-02-23 21:38:50,-33.92,25.57,55.4,82,0,4.65,clear sky,0.0,0.0
21,Sao Filipe,CV,2020-02-23 21:43:45,14.9,-24.5,68.41,83,23,16.4,few clouds,0.0,0.0
22,New Norfolk,AU,2020-02-23 21:41:07,-42.78,147.06,59.0,76,75,5.82,broken clouds,0.0,0.0
23,Kapaa,US,2020-02-23 21:43:46,22.08,-159.32,79.0,69,1,8.05,clear sky,0.0,0.0
24,Mindelo,CV,2020-02-23 21:42:44,16.89,-24.98,69.8,64,40,13.87,scattered clouds,0.0,0.0
25,Yellowknife,CA,2020-02-23 21:43:46,62.46,-114.35,-2.0,63,20,6.93,few clouds,0.0,0.0
26,Balkanabat,TM,2020-02-23 21:43:46,39.51,54.37,47.79,72,94,1.43,overcast clouds,0.0,0.0
27,Avarua,CK,2020-02-23 21:43:46,-21.21,-159.78,78.8,94,100,4.7,moderate rain,0.0,0.0
28,Hithadhoo,MV,2020-02-23 21:43:46,-0.6,73.08,83.41,76,92,13.69,overcast clouds,0.0,0.0
29,Rikitea,PF,2020-02-23 21:43:46,-23.12,-134.97,79.2,70,0,6.13,clear sky,0.0,0.0
30,Kavieng,PG,2020-02-23 21:43:46,-2.57,150.8,84.29,69,2,8.01,clear sky,0.0,0.0
31,Naica,MX,2020-02-23 21:43:46,27.85,-105.48,78.3,19,100,27.51,overcast clouds,0.0,0.0
32,Arraial Do Cabo,BR,2020-02-23 21:43:46,-22.97,-42.03,77.0,65,75,4.7,broken clouds,0.0,0.0
33,Van Buren,US,2020-02-23 21:43:46,35.44,-94.35,51.8,100,90,9.17,overcast clouds,0.0,0.0
34,Morant Bay,JM,2020-02-23 21:43:46,17.88,-76.41,84.2,62,75,12.75,broken clouds,0.0,0.0
35,Kaeo,NZ,2020-02-23 21:43:46,-35.1,173.78,77.0,74,0,3.0,clear sky,0.0,0.0
36,Miandrivazo,MG,2020-02-23 21:43:46,-19.52,45.47,76.84,90,49,3.47,moderate rain,3.38,0.0
37,Isiro,CD,2020-02-23 21:43:46,2.77,27.62,74.93,53,3,2.19,clear sky,0.0,0.0
38,Ust-Tsilma,RU,2020-02-23 21:43:46,65.44,52.15,30.06,82,100,12.97,overcast clouds,0.0,0.0
39,Lompoc,US,2020-02-23 21:43:05,34.64,-120.46,66.0,63,1,16.11,clear sky,0.0,0.0
40,Busselton,AU,2020-02-23 21:40:25,-33.65,115.33,68.0,47,72,14.25,broken clouds,0.0,0.0
41,Barranca,PE,2020-02-23 21:39:02,-10.75,-77.77,74.21,88,0,10.8,clear sky,0.0,0.0
42,Thompson,CA,2020-02-23 21:38:53,55.74,-97.86,17.6,67,90,6.93,overcast clouds,0.0,0.0
43,Ottawa,CA,2020-02-23 21:40:00,45.41,-75.7,45.0,52,75,8.05,broken clouds,0.0,0.0
44,Saint-Philippe,RE,2020-02-23 21:43:47,-21.36,55.77,75.2,78,0,6.93,clear sky,0.0,0.0
45,Puerto Baquerizo Moreno,EC,2020-02-23 21:43:47,-0.9,-89.6,82.4,83,40,6.93,scattered clouds,0.0,0.0
46,Mataura,NZ,2020-02-23 21:43:47,-46.19,168.86,56.46,76,77,2.1,broken clouds,0.0,0.0
47,Taltal,CL,2020-02-23 21:40:28,-25.4,-70.48,67.82,68,12,6.02,few clouds,0.0,0.0
48,East London,ZA,2020-02-23 21:43:47,-33.02,27.91,66.15,60,73,4.21,broken clouds,0.0,0.0
49,Shenavan,AM,2020-02-23 21:43:47,40.05,43.93,35.6,54,7,1.12,mist,0.0,0.0
50,Flinders,AU,2020-02-23 21:43:47,-34.58,150.86,73.0,68,0,6.93,clear sky,0.0,0.0
51,Tuatapere,NZ,2020-02-23 21:43:47,-46.13,167.68,56.68,62,72,1.5,broken clouds,0.0,0.0
52,Bengkulu,ID,2020-02-23 21:43:47,-3.8,102.27,74.08,89,3,4.56,clear sky,0.0,0.0
53,Bethel,US,2020-02-23 21:43:14,41.37,-73.41,54.0,20,5,9.17,clear sky,0.0,0.0
54,Cap-Aux-Meules,CA,2020-02-23 21:43:47,47.38,-61.86,30.2,74,20,11.41,few clouds,0.0,0.0
