City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Atuona,PF,81.61,clear sky,-9.8,-139.03,Villa Enata
4,Jacareacanga,BR,80.55,overcast clouds,-6.22,-57.75,Casa do Ian😎
13,Kahului,US,80.6,few clouds,20.89,-156.47,Maui Seaside Hotel
15,Sola,VU,83.14,few clouds,-13.88,167.55,Leumerus Bungalows
28,Hithadhoo,MV,83.41,overcast clouds,-0.6,73.08,Scoop Guest House
30,Kavieng,PG,84.29,clear sky,-2.57,150.8,Nusa Island Retreat
34,Morant Bay,JM,84.2,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
45,Puerto Baquerizo Moreno,EC,82.4,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
55,Tubuala,PA,88.0,scattered clouds,9.52,-79.03,
58,Manggar,ID,82.13,moderate rain,-2.88,108.27,Guest Hotel
61,Funadhoo,MV,83.12,scattered clouds,6.15,73.27,Dhaffalhu Tourist Lodge
65,Acoyapa,NI,86.0,scattered clouds,11.97,-85.17,Hotel Los Robles
72,Kieta,PG,81.63,light rain,-6.22,155.63,
76,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
78,Mogadishu,SO,80.62,scattered clouds,2.04,45.34,Hotel Juba
86,Meulaboh,ID,81.03,clear sky,4.14,96.13,Kost Pria
91,Fare,PF,82.9,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
93,Monte Alegre,BR,84.33,broken clouds,-2.01,-54.07,Hotel Shekinah
95,Nata,PA,81.0,overcast clouds,8.33,-80.52,Cabañas Estancia Bayamon
97,Natal,BR,82.4,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
98,Buin,CL,80.6,clear sky,-33.73,-70.75,Paihuen
99,San Patricio,MX,84.2,clear sky,19.22,-104.7,Hotel Cabo Blanco
104,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
114,Azul,AR,82.99,clear sky,-36.78,-59.86,Cabañas Dulcinea
